encoder,dataset,fold,method,hyper,accuracy,macro_f1,weighted_f1,n_iter
wavtok_40_unify,cremad,2,mlp,h512_a1e-03,0.3908857509627728,0.3592651702896172,0.3581804593757784,128.0
wavtok_40_unify,cremad,2,mlp,h512_a1e-02,0.3966623876765083,0.3590055413402238,0.3572657960801862,235.0
wavtok_40_unify,cremad,2,knn,k11,0.3202824133504492,0.3008342314681009,0.3011722440053889,
wavtok_40_unify,cremad,3,mlp,h512_a1e-05,0.4184852374839538,0.3818764566387714,0.3800362021150951,210.0
wavtok_40_unify,cremad,3,mlp,h512_a1e-04,0.4229781771501925,0.3698286859596744,0.3674979153776355,236.0
wavtok_40_unify,cremad,3,mlp,h512_a1e-03,0.4165596919127086,0.365085750882228,0.3635872741356716,178.0
wavtok_40_unify,cremad,3,mlp,h512_a1e-02,0.4236200256739409,0.3635603371250624,0.3611814404484895,233.0
wavtok_40_unify,cremad,3,knn,k11,0.3433889602053915,0.3216030641086351,0.3221709601178434,
wavtok_40_unify,cremad,4,mlp,h512_a1e-05,0.403339755940912,0.3547856007212888,0.352254361575722,225.0
wavtok_40_unify,cremad,4,mlp,h512_a1e-04,0.4104046242774566,0.3663121769302805,0.3639720697271728,225.0
wavtok_40_unify,cremad,4,mlp,h512_a1e-03,0.4078355812459858,0.3624675526695496,0.3601577862548417,225.0
wavtok_40_unify,cremad,4,mlp,h512_a1e-02,0.4174694926140013,0.3688242118410573,0.366724210625871,129.0
wavtok_40_unify,cremad,4,knn,k11,0.3166345536287733,0.3010761594977608,0.3019856679370444,
wavtok_40_unify,cremad,5,mlp,h512_a1e-05,0.3878048780487805,0.3505929018934295,0.3513321263906132,139.0
wavtok_40_unify,cremad,5,mlp,h512_a1e-04,0.3886178861788618,0.3530975987912385,0.3539804327019832,139.0
wavtok_40_unify,cremad,5,mlp,h512_a1e-03,0.3845528455284553,0.3443630508121673,0.3456699510309037,139.0
wavtok_40_unify,cremad,5,mlp,h512_a1e-02,0.3821138211382114,0.3426867067745676,0.3438247025284248,139.0
wavtok_40_unify,cremad,5,knn,k11,0.3113821138211382,0.301391541294207,0.305002197604118,
wavtok_40_unify,esc50,1,mlp,h512_a1e-05,0.19,0.1670512096130887,0.1670512096130887,300.0
wavtok_40_unify,esc50,1,mlp,h512_a1e-04,0.18,0.1585487106110353,0.1585487106110353,300.0
wavtok_40_unify,esc50,1,mlp,h512_a1e-03,0.2025,0.1784816888993359,0.1784816888993359,300.0
wavtok_40_unify,esc50,1,mlp,h512_a1e-02,0.19,0.1717451809389217,0.1717451809389217,300.0
wavtok_40_unify,esc50,1,knn,k11,0.1425,0.1315871506890082,0.1315871506890082,
wavtok_40_unify,esc50,2,mlp,h512_a1e-05,0.2125,0.1961877594369854,0.1961877594369854,300.0
wavtok_40_unify,esc50,2,mlp,h512_a1e-04,0.2125,0.1944759891848328,0.1944759891848328,300.0
wavtok_40_unify,esc50,2,mlp,h512_a1e-03,0.2075,0.1885780594706291,0.1885780594706291,300.0
wavtok_40_unify,esc50,2,mlp,h512_a1e-02,0.2025,0.1858538058313263,0.1858538058313263,300.0
wavtok_40_unify,esc50,2,knn,k11,0.1525,0.1438721310292585,0.1438721310292585,
wavtok_40_unify,esc50,3,mlp,h512_a1e-05,0.185,0.1703627659264353,0.1703627659264353,300.0
wavtok_40_unify,esc50,3,mlp,h512_a1e-04,0.195,0.1731511447253994,0.1731511447253994,300.0
wavtok_40_unify,esc50,3,mlp,h512_a1e-03,0.1825,0.1599715679265161,0.1599715679265161,300.0
wavtok_40_unify,esc50,3,mlp,h512_a1e-02,0.18,0.1567083000680389,0.1567083000680389,300.0
wavtok_40_unify,esc50,3,knn,k11,0.165,0.1524547956866573,0.1524547956866573,
wavtok_40_unify,esc50,4,mlp,h512_a1e-05,0.2175,0.1942643665569207,0.1942643665569207,245.0
wavtok_40_unify,esc50,4,mlp,h512_a1e-04,0.2075,0.1901014935469101,0.1901014935469101,300.0
wavtok_40_unify,esc50,4,mlp,h512_a1e-03,0.205,0.1896230316922873,0.1896230316922873,300.0
wavtok_40_unify,esc50,4,mlp,h512_a1e-02,0.2175,0.2026664147626569,0.2026664147626569,300.0
wavtok_40_unify,esc50,4,knn,k11,0.18,0.1695077697328471,0.1695077697328471,
wavtok_40_unify,esc50,5,mlp,h512_a1e-05,0.1625,0.141380298579989,0.141380298579989,300.0
wavtok_40_unify,esc50,5,mlp,h512_a1e-04,0.145,0.1276378352708024,0.1276378352708024,300.0
wavtok_40_unify,esc50,5,mlp,h512_a1e-03,0.1525,0.1334784251255404,0.1334784251255404,300.0
wavtok_40_unify,esc50,5,mlp,h512_a1e-02,0.1525,0.1345220751270286,0.1345220751270286,300.0
wavtok_40_unify,esc50,5,knn,k11,0.13,0.1217468492306963,0.1217468492306963,
encodec_24k,iemocap_4class,Ses01,mlp,h512_a1e-05,0.43754674644727,0.4321943202526928,0.4121979317554685,290.0
encodec_24k,iemocap_4class,Ses01,mlp,h512_a1e-04,0.4397905759162304,0.4343986539997581,0.4182332586146425,300.0
encodec_24k,iemocap_4class,Ses01,mlp,h512_a1e-03,0.4233358264771877,0.425516311337714,0.4050392669208059,300.0
encodec_24k,iemocap_4class,Ses01,mlp,h512_a1e-02,0.431563201196709,0.4325738492661074,0.4119622098439627,300.0
encodec_24k,iemocap_4class,Ses01,knn,k11,0.4308152580403889,0.4188920351708156,0.4050991009303268,
encodec_24k,iemocap_4class,Ses02,mlp,h512_a1e-05,0.4473049074818986,0.4240881858339158,0.441702152694672,300.0
encodec_24k,iemocap_4class,Ses02,mlp,h512_a1e-04,0.4577634754625905,0.4241919650503939,0.4518266294382026,300.0
encodec_24k,iemocap_4class,Ses02,mlp,h512_a1e-03,0.4505229283990346,0.4205859089131147,0.436894076229058,300.0
encodec_24k,iemocap_4class,Ses02,mlp,h512_a1e-02,0.4537409493161705,0.4307219031685547,0.4480308589491619,300.0
encodec_24k,iemocap_4class,Ses02,knn,k11,0.4529364440868865,0.4380384528286073,0.4407329854843541,
encodec_24k,iemocap_4class,Ses03,mlp,h512_a1e-05,0.4396433470507545,0.4241553527600452,0.4367313704758698,300.0
encodec_24k,iemocap_4class,Ses03,mlp,h512_a1e-04,0.443758573388203,0.4291078450450318,0.4396508274352874,300.0
encodec_24k,iemocap_4class,Ses03,mlp,h512_a1e-03,0.4417009602194787,0.4260784419379498,0.437814943398562,300.0
encodec_24k,iemocap_4class,Ses03,mlp,h512_a1e-02,0.4465020576131687,0.4266893880486738,0.439730651751114,300.0
encodec_24k,iemocap_4class,Ses03,knn,k11,0.3957475994513031,0.3678383062639585,0.3764305884005327,
encodec_24k,iemocap_4class,Ses04,mlp,h512_a1e-05,0.4572072072072072,0.4218893579856804,0.4521932518838955,300.0
encodec_24k,iemocap_4class,Ses04,mlp,h512_a1e-04,0.4737237237237237,0.4369312970691512,0.4661933724777619,300.0
encodec_24k,iemocap_4class,Ses04,mlp,h512_a1e-03,0.4602102102102102,0.4239881141329947,0.4506113080123274,300.0
encodec_24k,iemocap_4class,Ses04,mlp,h512_a1e-02,0.4632132132132132,0.4346803168943588,0.458165905438511,300.0
encodec_24k,iemocap_4class,Ses04,knn,k11,0.4902402402402402,0.4591322252882296,0.4807436447525653,
encodec_24k,iemocap_4class,Ses05,mlp,h512_a1e-05,0.444591904445919,0.4403979506804756,0.4492469110925475,300.0
encodec_24k,iemocap_4class,Ses05,mlp,h512_a1e-04,0.4505640345056403,0.4446645196586081,0.4542128829798257,300.0
encodec_24k,iemocap_4class,Ses05,mlp,h512_a1e-03,0.4664897146648971,0.4545749463822474,0.4689000734389026,300.0
encodec_24k,iemocap_4class,Ses05,mlp,h512_a1e-02,0.4505640345056403,0.4511979129658302,0.4525151041870578,287.0
encodec_24k,iemocap_4class,Ses05,knn,k11,0.424684804246848,0.4113017805053776,0.4113336711335895,
encodec_24k,ravdess,1,mlp,h512_a1e-05,0.4066666666666667,0.3881750000982283,0.4013549207396975,300.0
encodec_24k,ravdess,1,mlp,h512_a1e-04,0.41,0.388855767902683,0.4020810730644492,300.0
encodec_24k,ravdess,1,mlp,h512_a1e-03,0.41,0.3890095199660008,0.4019353578824334,300.0
encodec_24k,ravdess,1,mlp,h512_a1e-02,0.4133333333333333,0.3928136747422693,0.4034973770894283,300.0
encodec_24k,ravdess,1,knn,k11,0.3533333333333333,0.3097712622122396,0.322803632074008,
encodec_24k,ravdess,2,mlp,h512_a1e-05,0.42,0.4241767069814297,0.4241723258306967,300.0
encodec_24k,ravdess,2,mlp,h512_a1e-04,0.43,0.4351775485362636,0.4359065568225196,300.0
encodec_24k,ravdess,2,mlp,h512_a1e-03,0.4266666666666667,0.4300810577383922,0.4304702999714567,300.0
encodec_24k,ravdess,2,mlp,h512_a1e-02,0.42,0.4246578899367516,0.4246855876497068,300.0
encodec_24k,ravdess,2,knn,k11,0.27,0.2373689786729063,0.2433170340412235,
encodec_24k,ravdess,3,mlp,h512_a1e-05,0.4166666666666667,0.4045098105436703,0.4136993534688039,300.0
encodec_24k,ravdess,3,mlp,h512_a1e-04,0.4133333333333333,0.4000134030904587,0.4096596867007447,300.0
encodec_24k,ravdess,3,mlp,h512_a1e-03,0.4133333333333333,0.4001233423028096,0.4094069274418375,300.0
encodec_24k,ravdess,3,mlp,h512_a1e-02,0.41,0.3971506804899555,0.4066061159268745,300.0
encodec_24k,ravdess,3,knn,k11,0.3333333333333333,0.2931711418078613,0.3053084771876447,
encodec_24k,ravdess,4,mlp,h512_a1e-05,0.38,0.3642298258790017,0.3689039711336802,300.0
encodec_24k,ravdess,4,mlp,h512_a1e-04,0.39,0.3735489351083912,0.3782501772469304,300.0
encodec_24k,ravdess,4,mlp,h512_a1e-03,0.3733333333333333,0.355460051355343,0.3595495449751109,300.0
